ics_title,ics_description,facility_title,facility_description,standard_title,standard_description,standard_stage,standard_details.abstract,standard_details.Status,standard_details.Publication_date,standard_details.Edition,standard_details.Number_of_pages,standard_details.Technical_Committee,standard_details.ICS,standard_details.preview_doc,standard_details.Corrected_version_(en),standard_details.Corrected_version_(fr)
11.040,Medical equipment,11.040.40,"Implants for surgery, prosthetics and orthoticsIncluding pacemakers",IEC/TR 62653:2012,Guidelines for the safe use of medical products in dialysis treatment,95.99,"IEC/TR 62653:2012(E) which is a technical report, describes the technical requirements for use of equipment in haemodialysis, haemofiltration and haemodiafiltration. These principles should be complied with to ensure safe, permissible and proper application. The physician is responsible for the haemodialysis treatment prescription. However, the organization administering the treatment is responsible for all resources, structures and processes used in connection with the treatment. These responsibilities will not be described here. If applicable, the scope may be applicable to the use of the equipment in paediatrics, home haemodialysis, acute and sorbent dialysis systems. This technical report is not intended to be used as the basis of regulatory inspection or certification assessment activities.",Withdrawn,2012-06,1,25,ISO/TC 150/SC 2 Cardiovascular implants and extracorporeal systems,"11.040.40:Implants for surgery, prosthetics and orthotics",,,
11.040,Medical equipment,11.040.40,"Implants for surgery, prosthetics and orthoticsIncluding pacemakers",IEC/CD 80601-2-31,Medical electrical equipment — Part 2-31: Particular requirements for the basic safety and essential performance of external cardiac pacemakers with internal power source,30.20,"IEC 60601-2-31:2020 applies to the BASIC SAFETY and ESSENTIAL PERFORMANCE of EXTERNAL PACEMAKERS powered by an INTERNAL ELECTRICAL POWER SOURCE, hereafter referred to as ME EQUIPMENT. This document applies to PATIENT CABLES as defined in 201.3.209, but does not apply to LEADS as defined in 201.3.206. HAZARDS inherent in the intended physiological function of ME EQUIPMENT within the scope of this document are not covered by specific requirements in this document except in 7.2.13 and 8.4.1 of the general standard. This document does not apply to the implantable parts of ACTIVE IMPLANTABLE MEDICAL DEVICES covered by ISO 14708-1. This document does not apply to EXTERNAL PACEMAKERS which can be connected directly or indirectly to a SUPPLY MAINS. This document does not apply to transthoracic and oesophageal pacing ME EQUIPMENT and antitachycardia ME EQUIPMENT. IEC 60601-2-31:2020 cancels and replaces the second edition published in 2008 and Amendment 1:2011. This edition constitutes a technical revision. This edition includes the following significant technical changes with respect to the previous edition: a) The requirement for testing for energy reduction has been removed; b) The test for exposure to external defibrillation has been completely revised; c) The exclusion for testing ESD immunity only with respect to air discharges has been removed; d) Alignment with the latest edition of ISO 14708-2 for pacemakers, as well as the associated EMC standard ISO 14117; e) Additional rationale for all changes.",Under development,,1,,ISO/TC 150/SC 6 Active implants,"11.040.40:Implants for surgery, prosthetics and orthotics",,,
11.040,Medical equipment,11.040.50,Radiographic equipmentIncluding radiographic diagnostic and therapy equipment,ISO 3665:1976,Photography — Intra-oral dental radiographic film — Specification,95.99,,Withdrawn,1976-09,1,6,ISO/TC 42 Photography,"11.040.50:Radiographic equipment|11.060.20:Dental equipment|37.040.20:Photographic paper, films and plates. Cartridges",,,
11.040,Medical equipment,11.040.50,Radiographic equipmentIncluding radiographic diagnostic and therapy equipment,ISO 7376-2:1984,Laryngoscopic fittings — Part 2: Miniature electric lamps — Screw threads and sockets,95.99,,Withdrawn,1984-08,1,3,ISO/TC 121/SC 2 Airway devices and related equipment,11.040.50:Radiographic equipment|29.140.20:Incandescent lamps,,,
11.040,Medical equipment,11.040.50,Radiographic equipmentIncluding radiographic diagnostic and therapy equipment,ISO 21439:2009,Clinical dosimetry — Beta radiation sources for brachytherapy,90.93,"ISO 21439:2009 specifies methods for the determination of absorbed-dose distributions in water or tissue that are required prior to initiating procedures for the application of beta radiation in ophthalmic tumour and intravascular brachytherapy]. Recommendations are given for beta-radiation source calibration, dosemetry measurements, dose calculation, dosemetric quality assurance, as well as for beta-radiation brachytherapy treatment planning. Guidance is also given for estimating the uncertainty of the absorbed dose to water. ISO 21439:2009 is applicable to “sealed” radioactive sources, such as plane and concave surface sources, source trains of single seeds, line sources, shell and volume sources, for which only the beta radiation emitted is of therapeutic relevance.
The standardization of procedures in clinical dosemetry described in ISO 21439:2009 serves as a basis for the reliable application of beta-radiation brachytherapy. The specific dosemetric methods described in ISO 21439:2009 apply to sources for the curative treatment of ophthalmic disease, for intravascular brachytherapy treatment, for overcoming the problem of restenosis and for other clinical applications using beta radiation.
ISO 21439:2009 is geared towards organizations wishing to establish reference methods in dosemetry aiming at clinical demands for an appropriately small uncertainty of the delivered dose. ISO 21439:2009 does not exclude the possibility that there can be other methods leading to the same or smaller measurement uncertainties.",Published,2009-02,1,92,ISO/TC 85/SC 2 Radiological protection,17.240:Radiation measurements|11.040.50:Radiographic equipment,https://www.iso.org/obp/ui/#!iso:std:40240:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 6028,Healthcare organization management — Pandemic response — Functional requirements for self-symptom checker app,60.00,"This document specifies functional requirements for a self-initiated disease symptom checker app to be used for early screening and control of pandemics such as COVID-19.
There are four functional components specified in this document:
a)       self-registration (see 7.2);
b)       symptom checking (see 7.3);
c)        guidance on screening stations (see 7.4);
d)       health consultation (see 7.5).",Under development,2023-06,1,,ISO/TC 304 Healthcare organization management,11.040.55:Diagnostic equipment,,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 7376-1:1994,Laryngoscopic fittings — Part 1: Conventional hook-on type handle-blade fittings,95.99,"Cancels and replaces the first edition (1984). Lays down critical dimensions and considerations for the junction of any blade and any handle of a hook-on type laryngoscope to allow engagement, lamp illumination and disengagement through multiple cycles. Does not cover: the blade form or handle design other than the interchangeability aspects of the connection between the blade and the handle; the measurement and specification of the lamp illumination intensity; disposable or flexible laryngoscopes, or laryngoscopes designed for surgery; laryngoscopes without a lamp in the blade.",Withdrawn,1994-11,2,8,ISO/TC 121/SC 2 Airway devices and related equipment,11.040.55:Diagnostic equipment,,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 7376-2:1997,Laryngoscopic fittings — Part 2: Miniature electric lamps — Screw threads and sockets for conventional blades,95.99,,Withdrawn,1997-11,2,4,ISO/TC 121/SC 2 Airway devices and related equipment,11.040.55:Diagnostic equipment|29.140.20:Incandescent lamps,,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 7376:2003,Anaesthetic and respiratory equipment — Laryngoscopes for tracheal intubation,95.99,"ISO 7376:2003 specifies general requirements for laryngoscopes and critical dimensions for the handle and lamp of hook-on type laryngoscopes. 
It is applicable only to instruments with an electrical power source for illuminating the larynx, since electrical safety requirements may be more stringent for instruments connected to mains or external power packs. 
ISO 7376:2003 is not applicable to surgical instruments known by the same generic name. 
ISO 7376:2003 does not apply to:
-- the blade form or handle design, except for general requirements and the interchangeability aspects of the connection between the blade and the handle;-- the measurement and specification of the lamp illumination intensity;-- flexible laryngoscopes, or laryngoscopes designed for surgery;-- laryngoscopes powered from mains electricity supply;-- laryngoscopes connected by light-transmitting cables to external light sources.
Instruments connected by light guides to an external light source may be subject to other International Standards for endoscopes.",Withdrawn,2003-12,1,15,ISO/TC 121/SC 2 Airway devices and related equipment,11.040.55:Diagnostic equipment,,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 8600-1:1997,Optics and optical instruments — Medical endoscopes and endoscopic accessories — Part 1: General requirements,95.99,,Withdrawn,1997-06,1,8,ISO/TC 172/SC 5 Microscopes and endoscopes,11.040.55:Diagnostic equipment,,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 8600-1:2005,Optics and photonics — Medical endoscopes and endotherapy devices — Part 1: General requirements,95.99,ISO 8600-1:2005 defines terms and gives requirements for endoscopes and endotherapy devices used in the practice of medicine.,Withdrawn,2005-05,2,10,ISO/TC 172/SC 5 Microscopes and endoscopes,11.040.55:Diagnostic equipment,,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 8600-1:2013,Endoscopes — Medical endoscopes and endotherapy devices — Part 1: General requirements,95.99,ISO 8600-1:2013 gives definitions of terms and requirements for endoscopes and endotherapy devices used in the practice of medicine.,Withdrawn,2013-03,3,13,ISO/TC 172/SC 5 Microscopes and endoscopes,11.040.55:Diagnostic equipment,,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 8600-1:2015,Endoscopes — Medical endoscopes and endotherapy devices — Part 1: General requirements,90.92,ISO 8600-1:2015 gives definitions of terms and requirements for endoscopes and endotherapy devices used in the practice of medicine.,Published,2015-10,4,13,ISO/TC 172/SC 5 Microscopes and endoscopes,11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:67550:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 8600-2:2002,Optics and optical instruments — Medical endoscopes and endoscopic accessories — Part 2: Particular requirements for rigid bronchoscopes,95.99,,Withdrawn,2002-08,1,12,ISO/TC 172/SC 5 Microscopes and endoscopes,11.040.55:Diagnostic equipment,,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 8600-2:2015,Endoscopes - Medical endoscopes and endotherapy devices — Part 2: Particular requirements for rigid bronchoscopes,90.93,ISO 8600-2:2015 specifies requirements for rigid bronchoscopes and their endoscopic accessories used in the practice of anaesthesia and medical endoscopy.,Published,2015-04,2,15,ISO/TC 172/SC 5 Microscopes and endoscopes,11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:66090:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 8600-3:1997,Optics and optical instruments — Medical endoscopes and endoscopic accessories — Part 3: Determination of field of view and direction of view of endoscopes with optics,95.99,,Withdrawn,1997-07,1,4,ISO/TC 172/SC 5 Microscopes and endoscopes,11.040.55:Diagnostic equipment,,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 8600-3:1997/Amd 1:2003,Optics and optical instruments — Medical endoscopes and endoscopic accessories — Part 3: Determination of field of view and direction of view of endoscopes with optics — Amendment 1,95.99,,Withdrawn,2003-12,1,1,ISO/TC 172/SC 5 Microscopes and endoscopes,11.040.55:Diagnostic equipment,,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 8600-3:2019,Endoscopes — Medical endoscopes and endotherapy devices — Part 3: Determination of field of view and direction of view of endoscopes with optics,60.60,This document applies to endoscopes designed for use in the practice of medicine. It specifies measurement requirements and describes two test methods for measuring the field of view and direction of view of endoscopes. Method A uses the distance from the distal window to calculate the field of view. Method B uses the distance from the entrance pupil. Other test methods can be used if they obtain equivalent results.,Published,2019-08,2,8,ISO/TC 172/SC 5 Microscopes and endoscopes,11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:65018:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 8600-4:1997,Optics and optical instruments — Medical endoscopes and certain accessories — Part 4: Determination of maximum width of insertion portion,95.99,,Withdrawn,1997-07,1,2,ISO/TC 172/SC 5 Microscopes and endoscopes,11.040.55:Diagnostic equipment,,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 8600-4:2014,Endoscopes — Medical endoscopes and endotherapy devices — Part 4: Determination of maximum width of insertion portion,95.99,ISO 8600-4:2014 specifies a method of measurement of the maximum insertion portion width of medical endoscopes and certain endoscopic accessories.,Withdrawn,2014-03,2,2,ISO/TC 172/SC 5 Microscopes and endoscopes,11.040.55:Diagnostic equipment,,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 8600-4:2023,Endoscopes — Medical endoscopes and endotherapy devices — Part 4: Determination of maximum width of insertion portion,60.60,This document specifies a method of measurement of the maximum insertion portion width of medical endoscopes and certain endoscopic accessories.,Published,2023-01,3,3,ISO/TC 172/SC 5 Microscopes and endoscopes,11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:84217:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 8600-5:2005,Optics and photonics — Medical endoscopes and endotherapy devices — Part 5: Determination of optical resolution of rigid endoscopes with optics,95.99,ISO 8600-5:2005 specifies a test method for determining the optical resolution of rigid endoscopes with optics designed for use in the practice of medicine for type testing. Endoscopes having a fibre-optic or opto-electronic imaging system are excluded.,Withdrawn,2005-03,1,3,ISO/TC 172/SC 5 Microscopes and endoscopes,37.020:Optical equipment|11.040.55:Diagnostic equipment,,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 8600-5:2020,Optics and photonics — Medical endoscopes and endotherapy devices — Part 5: Determination of optical resolution of rigid endoscopes with optics,60.60,"This document applies to rigid endoscopes designed for use in the practice of medicine. Endoscopes having a fibre-optic or opto-electronic imaging system are excluded. It specifies a test method for determining the optical resolution of endoscopes.
This document provides a measurement method for characterizing three aspects of the optical resolution of a rigid endoscope. Characteristic A is used to provide a simple measurement of the limiting resolution of the endoscope image. Characteristic B provides a measurement of low spatial frequency resolution and characterizes the sharpness, or contrast, of the endoscope image. Characteristic C provides a measurement of the spatial frequency response of the endoscope image.",Published,2020-11,2,19,ISO/TC 172/SC 5 Microscopes and endoscopes,37.020:Optical equipment|11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:65019:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 8600-6:2005,Optics and photonics — Medical endoscopes and endotherapy devices — Part 6: Vocabulary,95.99,ISO 8600-6:2005 defines terms for endoscopes and endotherapy devices commonly used in the endoscopic area.,Withdrawn,2005-03,1,7,ISO/TC 172/SC 5 Microscopes and endoscopes,37.020:Optical equipment|01.040.37:Image technology (Vocabularies)|11.040.55:Diagnostic equipment,,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 8600-6:2020,Endoscopes — Medical endoscopes and endotherapy devices — Part 6: Vocabulary,60.60,This document defines terms for endoscopes and endotherapy devices commonly used in the endoscopic area. This document does not define general medical terms or other general terms. This document does not define terms that should be defined in other ISO 8600 (all parts).,Published,2020-09,2,25,ISO/TC 172/SC 5 Microscopes and endoscopes,37.020:Optical equipment|01.040.37:Image technology (Vocabularies)|11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:65020:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 8600-7:2012,Endoscopes — Medical endoscopes and endotherapy devices — Part 7: Basic requirements for medical endoscopes of water-resistant type,90.60,"ISO 8600-7:2012 specifies requirements for medical endoscopes, either flexible or rigid with a bending section, of water-resistant type.",Published,2012-07,1,1,ISO/TC 172/SC 5 Microscopes and endoscopes,11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:53699:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 8600-8:2021,Endoscopes — Medical endoscopes and endotherapy devices — Part 8: Particular requirements for capsule endoscopes,60.60,This document applies to capsule endoscopes used for clinical practice. The document defines relevant terms and gives requirements for them.,Published,2021-05,1,4,ISO/TC 172/SC 5 Microscopes and endoscopes,37.020:Optical equipment|11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:69818:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO/TR 13154:2009,"Medical electrical equipment — Deployment, implementation and operational guidelines for identifying febrile humans using a screening thermograph",95.99,"ISO/TR 13154:2009 provides general guidelines for the deployment, implementation and operation of a screening thermograph intended to be used for individual non-invasive febrile temperature screening of humans under indoor environmental conditions to prevent the spread of infection.",Withdrawn,2009-04,1,18,ISO/TC 121/SC 3 Respiratory devices and related equipment used for patient care,11.040.55:Diagnostic equipment,,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO/TR 13154:2017,"Medical electrical equipment — Deployment, implementation and operational guidelines for identifying febrile humans using a screening thermograph",60.60,"ISO/TR 13154:2017 provides general guidelines for the deployment, implementation and operation of a screening thermograph intended to be used for non-invasive febrile temperature screening of individuals under indoor environmental conditions to prevent the spread of infection.
NOTE          The equipment standard for screening thermographs is found in IEC 80601?2-59.",Published,2017-03,2,23,ISO/TC 121/SC 3 Respiratory devices and related equipment used for patient care,11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:69347:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO/TS 18339:2015,Endotherapy devices — Eyepiece cap and light guide connector,90.60,"ISO/TS 18339:2015 specifies the design of eyepiece cap and light guide connector of an endoscope to enable the combination of products from different manufacturers. The products intended only for limited combination are out of the scope. It is a mechanical connection; it might not generate best results, but it allows the user to be able to work.
ISO/TS 18339:2015 supports manufacturers of components in the design of interfaces.",Published,2015-11,1,3,ISO/TC 172/SC 5 Microscopes and endoscopes,11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:62211:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 18340:2020,"Endoscopes — Trocar pins, trocar sleeves and endotherapy devices for use with trocar sleeves",60.60,"This document specifies the design, testing and labelling of trocar sleeves and trocar pins that are universally interchangeable and reusable.
It also specifies the design, testing and labelling of endotherapy devices which are inserted through these trocar sleeves and are also universally interchangeable and reuseable.
This document specifies the minimum requirements for the production of the products mentioned.",Published,2020-07,1,9,ISO/TC 172/SC 5 Microscopes and endoscopes,11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:77328:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO/TS 18340:2015,"Endoscopes — Trocar pins, trocar sleeves and endotherapy devices for use with trocar sleeves",95.99,"ISO/TS 18340:2015 specifies the design, testing and labelling of universal interchangeable and reusable trocar sleeves and trocar pins and of endotherapy devices which are inserted through these trocar sleeves.
ISO/TS 18340:2015 represents the minimum requirements for the production of the products mentioned.",Withdrawn,2015-10,1,8,ISO/TC 172/SC 5 Microscopes and endoscopes,11.040.55:Diagnostic equipment,,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 18615:2020,Traditional Chinese medicine — General requirements of electric radial pulse tonometric devices,60.60,"This document specifies the general requirements for basic safety and essential performance of electric radial pulse tonometric devices.
This document does not apply to the accuracy of differential diagnosis or interpretation of the diagnostic data obtained from the use of such devices.
This document applies to pressure-based radial pulse tonometric devices.",Published,2020-01,1,13,ISO/TC 249 Traditional Chinese medicine,11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:71491:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 18778:2022,Respiratory equipment — Particular requirements for basic safety and essential performance of infant cardiorespiratory monitors,60.60,"This document applies to the basic safety and essential performance of an infant cardiorespiratory monitor, as defined in 3.10, hereafter also referred to as ME equipment, in combination with its accessories:
—    intended for use in the home healthcare environment;
—    intended for use by a lay operator;
—    intended to monitor cardiorespiratory parameters in sleeping or resting children under three years of age; and
—    intended for transit-operable use.
NOTE       An infant cardiorespiratory monitor can also be used in professional health care facilities.
This document is also applicable to those accessories intended by their manufacturer to be connected to the infant cardiorespiratory monitor, where the characteristics of those accessories can affect the basic safety or essential performance of the infant cardiorespiratory monitor.
EXAMPLE        probes, cables distributed alarm system",Published,2022-06,2,57,ISO/TC 121/SC 3 Respiratory devices and related equipment used for patient care,"11.040.10:Anaesthetic, respiratory and reanimation equipment|11.040.55:Diagnostic equipment",https://www.iso.org/obp/ui/#!iso:std:79357:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 19001:2002,In vitro diagnostic medical devices — Information supplied by the manufacturer with in vitro diagnostic reagents for staining in biology,95.99,"ISO 19001:2002 specifies requirements for information supplied by the manufacturer with reagents used in staining in biology. It applies to producers, suppliers and vendors of dyes, stains, chromogenic reagents and other reagents used for staining in biology. The requirements for information supplied by the manufacturer specified in ISO 19001:2002 are a prerequisite for achieving comparable and reproducible results in all fields of staining in biology.",Withdrawn,2002-11,1,16,ISO/TC 212 Clinical laboratory testing and in vitro diagnostic test systems,11.040.55:Diagnostic equipment|11.100.10:In vitro diagnostic test systems,,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 19001:2013,In vitro diagnostic medical devices — Information supplied by the manufacturer with in vitro diagnostic reagents for staining in biology,90.93,"ISO 19001:2013 specifies requirements for information supplied by the manufacturer with reagents used in staining in biology. It applies to producers, suppliers and vendors of dyes, stains, chromogenic reagents and other reagents used for staining in histology and cytology including bacteriology, haematology, histochemistry, as performed in medical laboratories, both routine and research bacteriology. The requirements for information supplied by the manufacturer specified in ISO 19001:2013 are a prerequisite for achieving comparable and reproducible results in all fields of staining in biology.",Published,2013-03,2,14,ISO/TC 212 Clinical laboratory testing and in vitro diagnostic test systems,11.040.55:Diagnostic equipment|11.100.10:In vitro diagnostic test systems,https://www.iso.org/obp/ui/#!iso:std:51984:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 19614:2017,Traditional Chinese medicine — Pulse graph force transducer,90.93,"ISO 19614:2017 specifies the technical requirements, classification and test method for a pulse graph force transducer, hereafter referred to as transducer.
It only applies to pulse graph acquisition over the patient's radial artery based on TCM pulse condition requirements.",Published,2017-05,1,20,ISO/TC 249 Traditional Chinese medicine,11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:65479:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO/TS 20758:2019,Traditional Chinese medicine — Abdominal physiological parameter detectors,90.93,"This document specifies the general requirements for basic performance and safety of abdominal physiological parameter detectors. It covers the material, basic parameters and testing method of abdominal parameter detectors but does not prescribe the clinical abdominal diagnosis associated with the findings obtained from the devices.",Published,2019-02,1,6,ISO/TC 249 Traditional Chinese medicine,11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:68984:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 23961-1:2021,Traditional Chinese medicine — Vocabulary for diagnostics — Part 1: Tongue,60.60,"This document specifies the basic terminology and classification of tongue diagnostic methods. Each term of tongue diagnosis includes the English name, the classical Chinese characters and its definition.
The classification structure of tongue diagnosis terms is shown in Figure 1.",Published,2021-11,1,36,ISO/TC 249 Traditional Chinese medicine,01.040.11:Health care technology (Vocabularies)|11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:77468:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO 23961-2:2021,Traditional Chinese medicine — Vocabulary for diagnostics — Part 2: Pulse,60.60,"This document specifies the basic terminology of pulse diagnostic methods, the key elements of pulse and pulse condition. Each term of pulse diagnosis includes the English name, the classical Chinese characters and its definition.",Published,2021-11,1,21,ISO/TC 249 Traditional Chinese medicine,01.040.11:Health care technology (Vocabularies)|11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:77470:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO/CD TS 23961-3,Traditional Chinese Medicine — Vocabulary for Diagnostics — Part 3: Abdomen,30.99,,Under development,,1,,ISO/TC 249 Traditional Chinese medicine,01.040.11:Health care technology (Vocabularies)|11.040.55:Diagnostic equipment,,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",IEC 80601-2-26:2019,Medical electrical equipment — Part 2-26: Particular requirements for the basic safety and essential performance of electroencephalographs,60.60,"This part of the  80601 International Standard applies to the basic safety and essential performance of electroencephalographs as defined in 201.3.204, hereafter also referred to as me equipment or me system. This document is applicable to electroencephalographs intended for use in professional healthcare facilities, the emergency medical services environment or the home healthcare environment.
This document does not cover requirements for other equipment used in electroencephalography such as:
-         phono-photic stimulators;
-         EEG data storage and retrieval;
-         ME EQUIPMENT particularly intended for monitoring during electroconvulsive therapy.
If a clause or subclause is specifically intended to be applicable to me equipment only, or to me systems only, the title or content of that clause or subclause will say so. If that is not the case, the clause or subclause applies both to me equipment and to me systems, as follows.
The clause or subclause applies to me equipment, as default. For me equipment with the corresponding safety measure or function not completely integrated into the me equipment but instead implemented in an me system, the me equipment manufacturer specifies in the accompanying documents which functionality and safety requirements are provided by the me system to comply with this document. The me system is verified accordingly.
Hazards inherent in the intended physiological function of me equipment or me systems within the scope of this document are not covered by specific requirements in this document. 
NOTE See also 4.2 of the general standard.",Published,2019-05,1,75,ISO/TC 121/SC 3 Respiratory devices and related equipment used for patient care,11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:77773:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",IEC 80601-2-49:2018,Medical electrical equipment — Part 2-49: Particular requirements for the basic safety and essential performance of multifunction patient monitoring equipment,90.20,"IEC 80601-2-49:2018 applies to basic safety and essential performance requirements of multifunction patient monitors, hereafter referred to as ME equipment or medical electrical systems. This particular standard applies to multifunction patient monitors intended for use in professional healthcare facilities as well as in the emergency medical service environment or the home healthcare environment.
The scope of this document is restricted to ME equipment or medical electrical systems intended for connection to a single patient that has two or more physiological monitoring units.
For purposes of this document, a pregnant mother and her fetus(es) are considered a single patient.
This document does not specify requirements for individual physiological monitoring units such as ECG, invasive pressure and pulse oximetry. The particular standards related to these physiological monitoring units specify requirements from the perspective of stand-alone ME equipment. This particular standard addresses the additional requirements related to multifunction patient monitors. Multifunction patient monitors can be integrated into other ME equipment or medical electrical systems. When this is the case, other relevant standards also apply.
This document does not apply to implantable parts of multifunction patient monitors.
This first edition cancels and replaces the second edition of IEC 60601-2-49, published in 2011. This edition constitutes a technical revision to align with the current edition and Amendment to IEC 60601-1, new versions of collateral standards and amendments thereto. Major changes are in Clause 208 because many of the former requirements are now addressed by IEC 60601-1-8.",Published,2018-03,1,69,ISO/TC 121/SC 3 Respiratory devices and related equipment used for patient care,11.040.55:Diagnostic equipment,https://www.iso.org/obp/ui/#!iso:std:67720:en,,
11.040,Medical equipment,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",IEC 80601-2-59:2008,Medical electrical equipment — Part 2-59: Particular requirements for basic safety and essential performance of screening thermographs for human febrile temperature screening,95.99,Medical electrical equipment - Part 2-59: Particular requirements for the basic safety and essential performance of screening thermographs for human febrile temperature screening,Withdrawn,2008-10,1,59,ISO/TC 121/SC 3 Respiratory devices and related equipment used for patient care,11.040.55:Diagnostic equipment,,,
