ics_title,facility_title,standard_title,standard_stage,facility_description,standard_status,is_deleted
11.040,11.040.10,ISO 5361-2:1984,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5361-2:1993,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5361-3:1984,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5361-4:1984,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5361-4:1987,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5361-5:1984,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5361:1999,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5361:2012,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5361:2016,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5361:2023,60.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 5362:1980,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5362:1986,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5362:2000,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5362:2006,90.92,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO/DIS 5362,40.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Under development,False
11.040,11.040.10,ISO 5364:1980,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5364:1986,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5364:1986/Cor 1:1992,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5364:2001,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5364:2008,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5364:2016,90.93,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 5366-1:1980,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5366-1:1986,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5366-1:1994,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5366-1:2000,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5366-2:1985,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5366-2:1993,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5366-3:1994,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5366-3:2001,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5366-3:2001/Cor 1:2003,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5366:2016,90.93,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 5367:1985,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.25,ISO 7886-3:2005,95.99,"Syringes, needles and catheters",Withdrawn,False
11.040,11.040.10,ISO 5367:1991,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5367:2000,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 5367:2014,90.92,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 5367,60.00,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Under development,False
11.040,11.040.10,ISO 5369:1987,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 7228:1981,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 7228:1985,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 7228:1993,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 7376-1:1984,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 7376-3:1996,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 7376:2009,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 7376:2020,60.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 7396-1:2002,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 7396-1:2007,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 7396-1:2007/Amd 1:2010,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 7396-1:2007/Amd 2:2010,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 7396-1:2007/Amd 3:2013,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 7396-1:2016/Amd 1:2017,60.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 7396-2:2000,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 7396-2:2007,90.93,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO/CD 7396-3,30.98,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Deleted,False
11.040,11.040.10,ISO 7396:1987,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 7767:1988,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 7767:1997,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 8185:1988,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 8185:1997,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 8185:1997/Cor 1:2001,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 8185:2007,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 8359:1988,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 8359:1996,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 8359:1996/Amd 1:2012,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 8382:1988,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 8835-2:1993,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 8835-2:1999,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 8835-2:2007,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 8835-3:1997,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 8835-3:2007,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 8835-3:2007/Amd 1:2010,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 8835-4:2004,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 8835-5:2004,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 8835-7:2011,90.93,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 8836:1988,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 8836:1997,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 8836:2007,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 8836:2014,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.25,ISO 7886-3:2020,60.60,"Syringes, needles and catheters",Published,False
11.040,11.040.10,ISO 8836:2019,60.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 9170-1:1999,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 9170-1:2008,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 9170-1:2017,90.93,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 9170-2:1999,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 9170-2:2008,90.20,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 9170:1990,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 9360-1:2000,90.92,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 9360-2:2001,90.92,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 9360:1992,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 9703-1:1992,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 9703-2:1994,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 9703-3:1998,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 9918:1993,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 9919:1992,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 9919:2005,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10079-1:1991,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10079-1:1991/Cor 1:1992,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10079-1:1991/Cor 2:1993,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10079-1:1999,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10079-1:2015,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10079-1:2015/Amd 1:2018,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10079-1:2022,60.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 10079-2:1992,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10079-2:1999,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.25,ISO 11040-1:1992,95.99,"Syringes, needles and catheters",Withdrawn,False
11.040,11.040.10,ISO 10079-2:2014,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10079-2:2022,60.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 10079-3:1992,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10079-3:1999,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10079-3:2014,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10079-3:2022,60.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 10079-4:2021,60.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 10083:1992,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10083:2006,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10524-1:2006,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10524-2:2005,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10524-3:2005,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10524-3:2005/Amd 1:2013,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10524-4:2008,90.20,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 10524:1995,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10524:1995/Cor 1:1996,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.25,ISO 7886-4:2006,95.99,"Syringes, needles and catheters",Withdrawn,False
11.040,11.040.10,ISO 10651-1:1993,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10651-2:1996,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10651-2:2004,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10651-3:1997,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10651-4:2002,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 10651-4:2023,60.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 10651-5:2006,90.93,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.25,ISO 9997:2020,60.60,"Syringes, needles and catheters",Published,False
11.040,11.040.25,ISO 11040-3:2012,90.92,"Syringes, needles and catheters",Published,False
11.040,11.040.10,ISO 10651-6:2004,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 11040-1:1992,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 11040-1:2015,90.93,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 11040-2:1994,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 11040-2:2011,90.93,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 11040-3:1993,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 11040-3:2012,90.92,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 11117:1998,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 11117:2008,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 11117:2008/Cor 1:2009,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 11117:2019,60.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 11195:1995,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 11196:1995,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 11196:1995/Cor 1:1997,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 11197:1996,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 11197:2004,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 11197:2016,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 11499:1997,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 11499:2007,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 11499:2014,90.93,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 11712:2009,90.92,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO/FDIS 11712,50.00,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Under development,False
11.040,11.040.10,ISO 11990-1:2011,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 11990-2:2010,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 11990:2003,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 14408:1998,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 14408:2005,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 14408:2016,90.92,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 15001:2003,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 15001:2010,90.93,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 15002:2000,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 15002:2008,90.92,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 15002:2008/Amd 1:2018,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO/FDIS 15002,50.20,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Under development,False
11.040,11.040.10,ISO 16571:2014,90.92,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO/DIS 16571,40.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Under development,False
11.040,11.040.10,ISO 16628:2008,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO/TS 16628:2003,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 16628:2022,60.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO/DIS 17256,40.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Under development,False
11.040,11.040.10,ISO 17510-1:2002,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 17510-1:2002/Cor 1:2004,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 17510-1:2007,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 17510-2:2003,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 17510-2:2007,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 17510:2015,90.93,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 18082:2014,90.93,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 18082:2014/Amd 1:2017,60.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 18190:2016,90.92,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 18562-1:2017,90.92,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO/FDIS 18562-1,50.00,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Under development,False
11.040,11.040.10,ISO 18562-2:2017,90.92,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO/FDIS 18562-2,50.00,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Under development,False
11.040,11.040.10,ISO 18562-3:2017,90.92,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO/FDIS 18562-3,50.00,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Under development,False
11.040,11.040.10,ISO 18562-4:2017,90.92,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO/FDIS 18562-4,50.00,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Under development,False
11.040,11.040.10,ISO/CD 18777-1.2,30.00,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Under development,False
11.040,11.040.25,ISO 11040-1:2015,90.93,"Syringes, needles and catheters",Published,False
11.040,11.040.10,ISO/CD 18777-2.2,30.00,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Under development,False
11.040,11.040.10,ISO 18778:2005,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 18778:2022,60.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 18779:2005,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 18835:2015,90.93,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO/TS 18835:2004,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO/DIS 19211,40.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Under development,False
11.040,11.040.10,ISO 19223:2019,60.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 20072:2009,90.93,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 20789:2018,60.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 21647:2004,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 21647:2004/Cor 1:2005,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 21917:2021,60.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO/TR 21954:2018,60.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 21969:2005,95.99,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Withdrawn,False
11.040,11.040.10,ISO 21969:2009,90.93,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 23328-1:2003,90.93,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 23328-2:2002,90.92,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 23368:2022,60.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 23371:2022,60.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
11.040,11.040.10,ISO 23372:2022,60.60,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Published,False
