is_deleted,title,description,abstract,status,publication_date,edition,no_of_pages,technical_committee,ics
False,ISO 18362:2016,Manufacture of cell-based health care products — Control of microbial risks during processing,"ISO 18362:2016 specifies the minimum requirements for, and provides guidance on, a risk-based approach for the processing of cell-based health care products (CBHPs) requiring control of viable and non-viable microbial contamination. It is applicable both to CBHPs labelled 'sterile' and to CBHPs not labelled 'sterile'.
ISO 18362:2016 is not applicable to:
-      procurement and transport of cell-based starting material used in processing of a CBHP,
-      cell banking,
-      control of genetic material,
-      control of non-microbial product contamination,
-      in vitro diagnostics (IVDs), or
-      natural medicines.
EXAMPLE       Vitamins and minerals, herbal remedies, homoeopathic medicines, traditional medicines such as traditional Chinese medicines, probiotics, other products such as amino acids and essential fatty acids.
ISO 18362:2016 does not define biosafety containment requirements.
ISO 18362:2016 does not replace national or regional regulations that apply to the manufacture and quality control of a CBHP.",Published,2016-02,1,32,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 18362:2016/Amd 1:2022,Manufacture of cell-based health care products — Control of microbial risks during processing — Amendment 1,,Published,2022-06,1,2,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 18472:2006,Sterilization of health care products — Biological and chemical indicators — Test equipment,"ISO 18472:2006 specifies the requirements for test equipment to be used to test chemical and biological indicators for steam, ethylene oxide, dry heat and vaporized hydrogen peroxide processes for conformity to the requirements given in ISO 11140-1 for chemical indicators, or the requirements given in the ISO 11138 series for biological indicators. ISO 18472:2006 also provides informative methods useful in characterizing the performance of biological and chemical indicators for intended use and for routine quality control testing.",Withdrawn,2006-06,1,28,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 18472:2018,Sterilization of health care products — Biological and chemical indicators — Test equipment,"This document specifies the requirements for test equipment to be used to:
—          test biological indicators for steam, ethylene oxide gas and dry heat sterilization processes for conformity to the requirements given in ISO 11138 series;
—          test chemical indicators for steam, ethylene oxide gas, dry heat and vaporized hydrogen peroxide sterilization processes for conformity to the requirements given in ISO 11140‑1:2014.
This document also provides informative methods useful in characterizing the performance of biological and chemical indicators for intended use and for routine quality control testing.
This document does not specify requirements for test equipment for processes specifically for testing chemical and biological indicators intended to monitor isolator and room biodecontamination processes at atmospheric pressure.
ISO 11138‑2:2017, ISO 11138‑3:2017, ISO 11138‑4:2017 and ISO 11140‑1:2014 require the use of resistometers specified in this document, and these resistometers are used in conjunction with the test methods specified in the appropriate parts of ISO 11138 series and ISO 11140 series.
Resistometers for low temperature steam and formaldehyde indicators are not included in this document. Test methods using laboratory apparatus for low temperature steam and formaldehyde are included in ISO 11138‑5:2017.
Test equipment for testing Type 2 (e.g. Bowie Dick) chemical indicators are specified in ISO 11140‑3:2007, ISO 11140‑4:2007, and ISO 11140‑5:2007.",Published,2018-08,2,31,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/TS 19930:2017,"Guidance on aspects of a risk-based approach to assuring sterility of terminally sterilized, single-use health care product that is unable to withstand processing to achieve maximally a sterility assurance level of 10-6","ISO/TS 19930:2017 provides guidance on identifying the aspects to be considered as part of a risk-based approach to selecting a sterility assurance level (SAL) for terminally sterilized, single-use health care product that is unable to withstand processing to achieve maximally a SAL of 10−6.
In addition, this document provides
a)    background information on the assurance of sterility and sterility assurance level, and
b)    guidance on strategies that can allow the achievement of a maximal SAL of 10−6.
ISO/TS 19930:2017 describes the elements of a quality management system which are applied to enable the appropriate selection of a SAL for terminally sterilized, single-use health care product that is unable to withstand processing to achieve maximally a SAL of 10−6.
NOTE       It is not a requirement of the International Standards for development, validation and routine control of a sterilization process to have a full quality management system. Attention is drawn to the standard for quality management systems (see ISO 13485) that controls all stages of the lifecycle of health care product.
ISO/TS 19930:2017 is applicable to sterilization processes in which microorganisms are inactivated by physical and/or chemical means.
ISO/TS 19930:2017 does not apply
-      to selecting a maximal SAL greater than 10−6 for health care product that is able to withstand processing to achieve maximally a SAL of 10−6;
-      in cases where a maximal SAL of 10−6 is required and an alternative SAL is not allowed;
-      in cases where a maximal SAL of greater than 10−6 (e.g. 10−3) has been accepted by regulatory authorities within their jurisdiction for health care product for defined use;
-      to the sterilization of used or reprocessed health care product;
-      to sterilization of health care product by filtration.
ISO/TS 19930:2017 does not describe detailed procedures for assessing microbial inactivation.
ISO/TS 19930:2017 does not specify requirements for the development, validation and routine control of a process for inactivating the causative agents of spongiform encephalopathies such as scrapie, bovine spongiform encephalopathy and Creutzfeldt-Jakob disease. Specific recommendations have been produced in particular countries for the processing of materials potentially contaminated with these agents.
NOTE       See also ISO 22442‑1, ISO 22442‑2 and ISO 22442‑3.
ISO/TS 19930:2017 does not supersede or modify published International Standards for particular sterilization processes. ISO/TS 19930:2017 neither recommends a SAL for a given health care product nor identifies a maximal SAL for a health care product to be labelled ""sterile"".
NOTE       These are matters for regulatory authorities and can vary from country to country.",Published,2017-12,1,23,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/TS 21387:2020,Sterilization of medical devices — Guidance on the requirements for the validation and routine processing of ethylene oxide sterilization processes using parametric release,"This document provides guidance on the requirements of ISO 11135 that apply when parametric release is used to release the product after exposure to the sterilization process. It provides a path for transition of existing cycles, as well as a path for the development and implementation of a parametric release specification for a new cycle. Additionally, it highlights the importance and interrelationship of other process factors, i.e. load configuration and equipment performance, which influence reproducibility of an ethylene oxide (EO) sterilization process.
NOTE For ease of reference, the numbering of clauses in this document corresponds to that in the normative parts of ISO 11135.
No additional guidance is offered for processes where the declaration of adequacy of the validated sterilization cycle includes a requirement for no growth in biological indicators (BIs) exposed to that process.",Published,2020-09,1,17,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/TS 22421:2021,Sterilization of health care products — Common requirements for sterilizers for terminal sterilization of medical devices in health care facilities,"This document specifies the common requirements for sterilizers used for terminal sterilization of medical devices in health care facilities. This document covers sterilizers that operate with a variety of sterilizing agents (alone or in combination) within a sealed vessel at different temperatures, above, at, or below atmospheric pressure.
This document provides high-level requirements and respective test methods that are general in nature.
This document does not provide quantitative requirements for process parameters or parameters of the sterilization cycle, or requirements for performance testing, validation or routine control of sterilizers because these depend on the respective sterilization method.
This document does not supersede or modify requirements or test methods of published standards applying to sterilizers, or future editions thereof.
This document does not apply to:
—     sterilizers using radiation as the sterilizing agent;
—     sterilizers for laboratory equipment;
—     sterilizers used to prepare culture media;
—     sterilizers used for bio-decontamination of laboratory or other waste including decontamination of pathogens in a high risk category;
—     systems used for bio-decontamination of rooms and isolator systems;
—     systems used for sterilization in place; or
—     washer-disinfectors.
NOTE     Whilst this document provides requirements for sterilizers used in health care applications, there will be elements that are applicable to industrial applications.",Published,2021-01,1,46,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 22441:2022,"Sterilization of health care products — Low temperature vaporized hydrogen peroxide — Requirements for the development, validation and routine control of a sterilization process for medical devices","1.1  Inclusions
1.1.1    This document provides requirements for the development, validation and routine monitoring and control of a low temperature sterilization process for medical devices using vaporized hydrogen peroxide (VH2O2) as the sterilizing agent.
1.1.2    This document is intended to be applied by process developers, manufacturers of sterilization equipment, manufacturers of medical devices to be sterilized, organizations performing process validation of VH2O2 sterilization, and organizations responsible for sterilizing medical devices.
NOTE      VH2O2 sterilizers can be used in both health care and industrial facilities, and this document acknowledges the similarities and differences between the two applications.
1.2  Exclusions
1.2.1    Processes that use other sterilizing agents, or hydrogen peroxide solution in combination with other chemicals as the sterilizing agent are not addressed in this document.
NOTE      See ISO 14937 for guidance on validation of such processes.
1.2.2    This document does not specify requirements for development, validation and routine control of a process for inactivating the causative agents of spongiform encephalopathies, e.g. scrapie, bovine spongiform encephalopathy and Creutzfeldt-Jakob disease. Specific recommendations have been produced in particular countries for the processing of materials potentially contaminated with these agents.
NOTE      Some VH2O2 sterilizers have processes that demonstrate some level of inactivation of the causative agents of spongiform encephalopathies, e.g. scrapie, bovine spongiform encephalopathy and Creutzfeldt-Jakob Disease. However, this inactivation is process, cycle, and test protocol specific, therefore this inactivation is outside the scope of this document, and no specific test methods are provided (see [14], [26], and [30] for more information).
1.2.3    This document does not specify requirements for designating a medical device as sterile.
NOTE      See for example EN 556–1 or ANSI/AAMI ST67.
1.2.4    This document does not specify requirements for occupational safety associated with the design and operation of VH2O2 sterilization equipment.
NOTE      For further information on safety, see examples in the Bibliography. National or regional regulations can also exist.
1.2.5    This document does not apply to the contents of contained product, i.e. product for which the environment within the sterilizer chamber during any stage of the sterilization process does not come into direct contact with the product, such as a solution in a sealed bottle.
1.2.6    This document does not cover hydrogen peroxide decontamination systems for use in rooms, enclosures or environmental spaces.
NOTE      These decontamination systems operate at ambient conditions (e.g. temperature and pressure) and in general utilise an approach that is different to that of VH2O2 sterilization processes addressed in this document.",Published,2022-08,1,79,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/TS 22456:2021,Sterilization of healthcare products — Microbiological methods— Guidance on conducting bioburden determinations and tests of sterility for biologics and tissue-based products,"1.1.1    This document provides guidance for bioburden testing and tests of sterility for biologics and tissue-based products, where this testing is in relation to product sterilization.
NOTE     This document is intended to be used in conjunction with ISO 11737-1 and ISO 11737-2.
1.1.2    Guidance in this document can be applicable to biologics and tissue-based products that are not sterile but are microbiologically controlled.",Published,2021-03,1,13,ISO/TC 198 Sterilization of health care products,07.100.10 Medical microbiology                 11.080.01 Sterilization and disinfection in general
False,ISO 25424:2009,"Sterilization of medical devices — Low temperature steam and formaldehyde — Requirements for development, validation and routine control of a sterilization process for medical devices","ISO 25424:2009 specifies requirements for the development, validation and routine control of a Low Temperature Steam and Formaldehyde (LTSF) sterilization process for medical devices.
ISO 25424:2009 is intended to be applied by process developers, manufacturers of sterilization equipment, manufacturers of medical devices to be sterilized and the organizations with responsibility for sterilizing medical devices.
ISO 25424:2009 covers sterilization processes that use a mixture of low temperature steam and formaldehyde as sterilant, and which are working below ambient pressure only.",Withdrawn,2009-09,1,38,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/DIS 15883-3,Washer-disinfectors — Part 3: Requirements and tests for washer-disinfectors employing thermal disinfection for human waste containers,"ISO 15883-3:2006 specifies particular requirements for washer-disinfectors (WD) that are intended to be used for emptying, flushing, cleaning and thermal disinfection of containers used to hold human waste for disposal by one operating cycle.
ISO 15883-3:2006 is to be applied in conjunction with ISO 15883-1.",Under development         You can help develop this draft international standard by contacting your national member,,2,16,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
False,ISO 25424:2018,"Sterilization of health care products — Low temperature steam and formaldehyde — Requirements for development, validation and routine control of a sterilization process for medical devices","1.1    Inclusions
1.1.1    This document specifies requirements for the development, validation and routine control of a low temperature steam and formaldehyde (LTSF) sterilization process for medical devices using a mixture of low temperature steam and formaldehyde as sterilizing agent and which operates below ambient pressure.
NOTE       Although the scope of this document is limited to medical devices, it specifies requirements and provides guidance that can be applicable to other products and equipment.
1.1.2    This document is intended to be applied by process developers, manufacturers of sterilization equipment, manufacturers of medical devices to be sterilized and the organizations with responsibility for sterilizing medical devices (see ISO 14937:2009, Table E.1).
1.2    Exclusions
1.2.1    This document does not specify requirements for the development, validation and routine control of a process for inactivating the causative agents of spongiform encephalopathies such as scrapie, bovine spongiform encephalopathy and Creutzfeldt-Jakob disease. Specific recommendations have been produced in particular countries for the processing of materials potentially contaminated with these agents.
NOTE       See ISO 22442‑1, ISO 22442‑2 and ISO 22442‑3.
1.2.2    This document does not specify requirements for designating a medical device as ""STERILE"". Such requirements are given in EN 556‑1.
1.2.3    This document does not specify a quality management system for the control of all stages of production of medical devices.
NOTE       It is not a requirement of this document to have a complete quality management system during manufacture or reprocessing, but those elements of such a system that are required are normatively referenced at appropriate places in the text. Attention is drawn to the standards for quality management systems (see ISO 13485) that control all stages of production or reprocessing of medical devices including the sterilization process. Further guidance is given in E.4 of ISO 14937:2009.
1.2.4    This document does not specify requirements for occupational safety associated with the design and operation of LTSF sterilization facilities.
NOTE 1    Safety requirements for sterilizers are specified in IEC 61010‑2‑040.
NOTE 2    Attention is also drawn to the existence in some countries of regulations stipulating safety requirements.
1.2.5    This document does not cover analytical methods for determining levels or residues of formaldehyde and/or its reaction products.
NOTE 1    Attention is drawn to EN 14180.
NOTE 2    Attention is drawn to the possible existence in some countries of statutory regulations specifying limits for the level of formaldehyde residues on medical devices and products.
1.2.6    This document does not cover preparatory measures that might be necessary before sterilization such as cleaning, disinfection and packing.
NOTE       For reprocessable medical devices, the manufacturer(s) of these devices can supply information on the preparatory measures (see ISO 17664).",Published,2018-10,2,41,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 25424:2018/Amd 1:2022,"Sterilization of health care products — Low temperature steam and formaldehyde — Requirements for development, validation and routine control of a sterilization process for medical devices — Amendment 1",,Published,2022-01,2,2,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 15883-1:2006,"Washer-disinfectors — Part 1: General requirements, terms and definitions and tests","ISO 15883-1:2006 specifies general performance requirements for washer-disinfectors (WD) and their accessories that are intended to be used for cleaning and disinfection of re-usable medical devices and other articles used in the context of medical, dental, pharmaceutical and veterinary practice. It specifies performance requirements for cleaning and disinfection as well as for the accessories which can be required to achieve the necessary performance. The methods and instrumentation required for validation, routine control and monitoring and re-validation, periodically and after essential repairs, are also specified.
The requirements for washer-disinfectors intended to process specific loads are specified in subsequent parts of ISO 15883. For washer-disinfectors intended to process loads of two or more different types the requirements of all relevant parts of this standard apply.
ISO 15883-1:2006 does not specify requirements intended for machines for use for laundry or general catering purposes.
ISO 15883-1:2006 does not include requirements for machines which are intended to sterilize the load, or which are designated as ""sterilizers"", these are specified in other standards e.g. EN 285.
The specified performance requirements of this standard may not ensure the inactivation or removal of the causative agent(s) (prion protein) of transmissible spongiform encephalopathies.
ISO 15883-1:2006 may be used by prospective purchasers and manufacturers as the basis of agreement on the specification of a WD. The test methods for demonstration of compliance with the requirements of ISO 15883-1:2006 may also be employed by users to demonstrate continued compliance of the installed WD throughout its working life. Guidance on a routine test programme also is given.",Published,2006-04,1,70,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
False,ISO 15883-1:2006/Amd 1:2014,"Washer-disinfectors — Part 1: General requirements, terms and definitions and tests — Amendment 1",,Published,2014-07,1,6,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
False,ISO/FDIS 15883-1,"Washer-disinfectors — Part 1: General requirements, terms and definitions and tests",,Under development,,2,,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
False,ISO 15883-2:2006,"Washer-disinfectors — Part 2: Requirements and tests for washer-disinfectors employing thermal disinfection for surgical instruments, anaesthetic equipment, bowls, dishes, receivers, utensils, glassware, etc.","ISO 15883-2:2006 specifies particular requirements for washer disinfectors (WD) that are intended for use for the cleaning and thermal disinfection, in a single operating cycle, of re-usable medical devices such as surgical instruments, anaesthetic equipment, bowls, dishes and receivers, utensils and glassware.
The requirements in ISO 15883-2:2006 apply in addition to the general requirements specified in ISO 15883-1.
The specified performance requirements of ISO 15883-2:2006 may not ensure the inactivation or removal of the causative agent(s) (prion protein) of transmissible spongiform encephalopathies.",Published,2006-04,1,10,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
False,ISO/DIS 15883-2,Washer-disinfectors — Part 2: Requirements and tests for washer-disinfectors employing thermal disinfection for critical and semi-critical medical devices,"ISO 15883-2:2006 specifies particular requirements for washer disinfectors (WD) that are intended for use for the cleaning and thermal disinfection, in a single operating cycle, of re-usable medical devices such as surgical instruments, anaesthetic equipment, bowls, dishes and receivers, utensils and glassware.
The requirements in ISO 15883-2:2006 apply in addition to the general requirements specified in ISO 15883-1.
The specified performance requirements of ISO 15883-2:2006 may not ensure the inactivation or removal of the causative agent(s) (prion protein) of transmissible spongiform encephalopathies.",Under development         You can help develop this draft international standard by contacting your national member,,2,19,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
False,ISO 15883-3:2006,Washer-disinfectors — Part 3: Requirements and tests for washer-disinfectors employing thermal disinfection for human waste containers,"ISO 15883-3:2006 specifies particular requirements for washer-disinfectors (WD) that are intended to be used for emptying, flushing, cleaning and thermal disinfection of containers used to hold human waste for disposal by one operating cycle.
ISO 15883-3:2006 is to be applied in conjunction with ISO 15883-1.",Published,2006-04,1,11,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
False,ISO 15883-4:2008,Washer-disinfectors — Part 4: Requirements and tests for washer-disinfectors employing chemical disinfection for thermolabile endoscopes,"ISO 15883-4:2008 specifies the particular requirements, including performance, for washer-disinfectors (WDs) that are intended to be used for cleaning and chemical disinfection of thermolabile endoscopes.
ISO 15883-4:2008 also specifies the performance requirements for the cleaning and disinfection of the washer-disinfector and its components and accessories which may be required to achieve the necessary performance.
The methods, instrumentation and instructions required for type testing, works testing, validation (installation, operational and performance qualification on first installation), routine control and monitoring and re-validation, periodically and after essential repairs, are also specified.
ISO 15883-4:2008 can be used by prospective purchasers and manufacturers as the basis of agreement on the specification of WD manufacturers of endoscopes, cleaning products, disinfecting products, and also by users.",Withdrawn,2008-05,1,49,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
False,ISO 15883-4:2018,Washer-disinfectors — Part 4: Requirements and tests for washer-disinfectors employing chemical disinfection for thermolabile endoscopes,"This document specifies the particular requirements, including performance criteria for washer-disinfectors (WD) that are intended to be used for cleaning and chemical disinfection of thermolabile endoscopes.
This document also specifies the performance requirements for the cleaning and disinfection of the washer-disinfector and its components and accessories which can be required to achieve the necessary performance criteria.
The methods, instrumentation and instructions required for type testing, works testing, validation (installation, operational and performance qualification on first installation), routine control and monitoring, and requalification of WD periodically and after essential repairs, are also specified.
NOTE 1    In addition, Annex A gives guidance on an appropriate division of responsibility for the range of activities covered by this document.
NOTE 2    WD complying with this document can also be used for cleaning and chemical disinfection of other thermolabile re-usable medical devices for which the device manufacturer has recommended and validated this method of disinfection.
WD complying with the requirements of this document are not intended for cleaning and disinfection of medical devices, including endoscopic accessories, which are heat stable and can be disinfected or sterilized by thermal methods (see ISO 15883-1:2006+Amd 1:2014, 4.1.5).
The specified performance requirements of this document do not ensure the inactivation or removal of the causative agent(s) (prion protein) of transmissible spongiform encephalopathies.
NOTE 3    If it is considered that prion protein might be present, particular care is needed in the choice of cleaning agents and disinfectants to ensure that the chemicals used do not react with the prion protein and/or other protein in a manner that can inhibit its removal or inactivation from the load or washer-disinfector.
NOTE 4    This document can be used by prospective purchasers and manufacturers as the basis of agreement on the specification of the WD, manufacturers of endoscopes, cleaning products, and disinfecting products.",Published,2018-11,2,81,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
False,ISO 15883-5:2021,Washer-disinfectors — Part 5: Performance requirements and test method criteria for demonstrating cleaning efficacy,"This document specifies procedures and test methods used to demonstrate the cleaning efficacy of washer-disinfectors (WD) and their accessories intended to be used for cleaning of reusable medical devices.
NOTE 1   The requirements can be used for washer-disinfectors intended for use with other articles used in the context of medical, dental, laboratory, pharmaceutical and veterinary practice.
NOTE 2   This document does not apply to the activities to be performed by the manufacturers of reusable medical devices.",Published,2021-07,1,59,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
False,ISO/TS 15883-5:2005,Washer-disinfectors — Part 5: Test soils and methods for demonstrating cleaning efficacy,"ISO/TS 15883-5:2005 includes the test soils and methods that can be used to demonstrate the cleaning efficacy of washer-disinfectors (WD) according to the ISO 15883 series of standards. 
The inclusion of the test soils and methods in ISO/TS 15883-5:2005 does not indicate that they are of equivalent sensitivity in their determination of cleaning efficacy. 
Acceptance criteria are included, based on visual inspection and/or a microbiological end-point as stated for each method. Where chemical detection of residual soiling is required/sought, methods can be complemented by the specific determination of a residual component of the applied test soil. 
NOTE 1 The test soils and methods included in ISO/TS 15883-5:2005 are sourced from national standards and published documents submitted by member bodies of the Technical Committee preparing ISO/TS 15883-5:2005. They have been edited only to provide a uniform format within ISO/TS 15883-5:2005.
NOTE 2 An example of this is the use of the peroxidase test to detect residual blood (haemoglobin) from the test soil applied to surgical instruments or flexible endoscopes (e.g. using the method described in ISO/TS 15883-5:2005). See also ISO 15883-1:2005, Annex D.",Withdrawn,2005-11,1,73,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
False,ISO 15883-6:2011,"Washer-disinfectors — Part 6: Requirements and tests for washer-disinfectors employing thermal disinfection for non-invasive, non-critical medical devices and healthcare equipment","ISO 15883-6:2011 specifies particular requirements for washer-disinfectors (WDs) intended for use when the level of assurance of disinfection that is necessary can be achieved by cleaning and thermal disinfection (A0 not less than 60) and does not require an independent automated record of critical processes to be kept. It is intended to be used in conjunction with ISO 15883-1, which gives general requirements for WDs.
The range of products on which WDs of this particular type can be used is restricted to devices and equipment which are non-invasive and non-critical (i.e. not penetrating skin or contacting mucosal surfaces).",Published,2011-04,1,7,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
False,ISO 15883-7:2016,"Washer-disinfectors — Part 7: Requirements and tests for washer-disinfectors employing chemical disinfection for non-invasive, non-critical thermolabile medical devices and healthcare equipment","ISO 15883-7:2016 specifies the particular requirements for washer-disinfectors (WD) intended to be used for the cleaning and chemical disinfection, in a single operating cycle, of reusable items such as the following:
a)    bedframes;
b)    bedside tables;
c)    transport carts;
d)    containers;
e)    surgical tables;
f)     sterilization containers;
g)    surgical clogs;
h)    wheelchairs, aids for the disabled.
ISO 15883-7:2016 also specifies the performance requirements for the cleaning and disinfection of the washer-disinfector and its components and accessories which may be necessary in order to achieve the required performance.
Devices identified within the scopes of ISO 15883‑2, ISO 15883‑3, ISO I5883-4, and ISO 15883‑6 do not fall within the scope of this part of ISO 15883.
In addition, the methods are specified, as well as instrumentation and instructions required for type testing, works testing, validation (installation, operation, and performance qualification on first installation), routine control, and monitoring, as well as requalifications required to be carried out periodically and after essential repairs.
NOTE          WDs corresponding to this part of ISO 15883 can also be used for cleaning and chemical disinfection of other thermolabile and reusable devices as recommended by the device manufacturer.
The performance requirements specified in this part of ISO 15883 may not ensure the inactivation or removal of the causative agent(s) (prion proteins) of Transmissible Spongiform Encephalopathies.",Published,2016-02,1,30,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
False,ISO/CD 15883-7,Washer-disinfectors — Part 7: Requirements and tests for washer-disinfectors employing chemical disinfection for non-critical thermolabile medical devices and health care equipment,"ISO 15883-7:2016 specifies the particular requirements for washer-disinfectors (WD) intended to be used for the cleaning and chemical disinfection, in a single operating cycle, of reusable items such as the following:
a) bedframes;
b) bedside tables;
c) transport carts;
d) containers;
e) surgical tables;
f) sterilization containers;
g) surgical clogs;
h) wheelchairs, aids for the disabled.
ISO 15883-7:2016 also specifies the performance requirements for the cleaning and disinfection of the washer-disinfector and its components and accessories which may be necessary in order to achieve the required performance.
Devices identified within the scopes of ISO 15883‑2, ISO 15883‑3, ISO I5883-4, and ISO 15883‑6 do not fall within the scope of this part of ISO 15883.
In addition, the methods are specified, as well as instrumentation and instructions required for type testing, works testing, validation (installation, operation, and performance qualification on first installation), routine control, and monitoring, as well as requalifications required to be carried out periodically and after essential repairs.
NOTE WDs corresponding to this part of ISO 15883 can also be used for cleaning and chemical disinfection of other thermolabile and reusable devices as recommended by the device manufacturer.
The performance requirements specified in this part of ISO 15883 may not ensure the inactivation or removal of the causative agent(s) (prion proteins) of Transmissible Spongiform Encephalopathies.",Under development,,2,,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
False,ISO 11607-1:2006,"Packaging for terminally sterilized medical devices — Part 1: Requirements for materials, sterile barrier systems and packaging systems","ISO 11607-1:2006 specifies the requirements and test methods for materials, preformed sterile barrier systems, sterile barrier systems and packaging systems that are intended to maintain sterility of terminally sterilized medical devices until the point of use.
ISO 11607-1:2006 is applicable to industry, to health care facilities, and wherever medical devices are placed in sterile barrier systems and sterilized.
ISO 11607-1:2006 does not cover all requirements for sterile barrier systems and packaging systems for medical devices that are manufactured aseptically. Additional requirements might also be necessary for drug/device combinations.
ISO 11607-1:2006 does not describe a quality assurance system for control of all stages of manufacture.",Withdrawn,2006-04,1,24,ISO/TC 198 Sterilization of health care products,11.080.30 Sterilized packaging
False,ISO 11607-1:2006/Amd 1:2014,"Packaging for terminally sterilized medical devices — Part 1: Requirements for materials, sterile barrier systems and packaging systems — Amendment 1",,Withdrawn,2014-07,1,11,ISO/TC 198 Sterilization of health care products,11.080.30 Sterilized packaging
False,ISO 11607-1:2019,"Packaging for terminally sterilized medical devices — Part 1: Requirements for materials, sterile barrier systems and packaging systems","This document specifies requirements and test methods for materials, preformed sterile barrier systems, sterile barrier systems and packaging systems that are intended to maintain sterility of terminally sterilized medical devices until the point of use.
It is applicable to industry, to health care facilities, and to wherever medical devices are placed in sterile barrier systems and sterilized.
It does not cover all requirements for sterile barrier systems and packaging systems for medical devices that are manufactured aseptically. Additional requirements can be necessary for drug/device combinations.
It does not describe a quality assurance system for control of all stages of manufacture.
It does not apply to packaging materials and/or systems used to contain a contaminated medical device during transportation of the item to the site of reprocessing or disposal.",Published,2019-02,2,44,ISO/TC 198 Sterilization of health care products,11.080.30 Sterilized packaging
False,ISO 11607-1:2019/FDAmd 1,"Packaging for terminally sterilized medical devices — Part 1: Requirements for materials, sterile barrier systems and packaging systems — Amendment 1: Application of risk management",,Under development,,2,,ISO/TC 198 Sterilization of health care products,11.080.30 Sterilized packaging
False,ISO 11607-2:2006,"Packaging for terminally sterilized medical devices — Part 2: Validation requirements for forming, sealing and assembly processes","ISO 11607-2:2006 specifies the requirements for development and validation of processes for packaging medical devices that are terminally sterilized. These processes include forming, sealing, and assembly of preformed sterile barrier systems, sterile barrier systems and packaging systems.
ISO 11607-2:2006 is applicable to industry, to health care facilities, and wherever medical devices are packaged and sterilized.
ISO 11607-2:2006 does not cover all requirements for packaging medical devices that are manufactured aseptically. Additional requirements may also be necessary for drug/device combinations.",Withdrawn,2006-04,1,11,ISO/TC 198 Sterilization of health care products,11.080.30 Sterilized packaging
False,ISO 11607-2:2006/Amd 1:2014,"Packaging for terminally sterilized medical devices — Part 2: Validation requirements for forming, sealing and assembly processes — Amendment 1",,Withdrawn,2014-07,1,2,ISO/TC 198 Sterilization of health care products,11.080.30 Sterilized packaging
False,ISO 11607-2:2019,"Packaging for terminally sterilized medical devices — Part 2: Validation requirements for forming, sealing and assembly processes","This document specifies requirements for the development and validation of processes for packaging medical devices that are terminally sterilized. These processes include forming, sealing and assembly of preformed sterile barrier systems, sterile barrier systems and packaging systems.
It is applicable to industry, to health care facilities, and to wherever medical devices are packaged and sterilized.
It does not cover all requirements for packaging medical devices that are manufactured aseptically. Additional requirements can be necessary for drug/device combinations.",Published,2019-02,2,13,ISO/TC 198 Sterilization of health care products,11.080.30 Sterilized packaging
False,ISO 11607-2:2019/FDAmd 1,"Packaging for terminally sterilized medical devices — Part 2: Validation requirements for forming, sealing and assembly processes — Amendment 1: Application of risk management",,Under development,,2,,ISO/TC 198 Sterilization of health care products,11.080.30 Sterilized packaging
False,ISO 11607:1997,Packaging for terminally sterilized medical devices,"Contains the requirements for single-use materials and reusable containers used for packaging of terminally sterilized medical devices whether produced industrially or in health care facilities. Provides guidelines for the most common practices and techniques for the final packaging. The purpose is, to provide designers and manufacturers of medical devices with a framework of laboratory tests and evaluations that can be used to qualify the overall performance of the package.",Withdrawn,1997-01,1,18,ISO/TC 198 Sterilization of health care products,11.080.30 Sterilized packaging
